url,label
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,1
https://spreadsheets.google.com/spreadsheet/formResponse?formkey=dHpwdTNqUEU2eFJpdHdvblNNZFdSLWc6MQ&amp;theme=0AX42CRMsmRFbUy01ZDc3NWRkZC1mYWQzLTQxYzItYTQ2Yy05OGFmMDE1NGY4ZjY&amp;embedded=true&amp;ifq,1
https://spreadsheets.google.com/spreadsheet/embeddedform?formkey=dF9IbUh2RjMxNEtuNmxVNHhxVlQ5eEE6MQ,1
http://www.youtube.com/embed/9wCygJtW_SQ?rel=0&showinfo=0&autoplay=1,1
https://spreadsheets.google.com/spreadsheet/embeddedform?formkey=dG4wRlFMd1NrVk9FVlJBOThPSmdkVGc6MQ,1
https://sites.google.com/site/habbomoedasgt/,1
http://www.facebook.com/plugins/like.php?href=http%3A%2F%2Fzoetekroon.nl%2F2013%2F08%2Fjokie-en-jet-en-maya-de-bij-taart%2F&layout=button_count&show_faces=true&width=450&action=like&font=tahoma&colorscheme=light,1
https://spreadsheets.google.com/spreadsheet/formResponse?hl=en_US&amp;formkey=dF9IbUh2RjMxNEtuNmxVNHhxVlQ5eEE6MQ&amp;theme=0AX42CRMsmRFbUy1kN2NjY2Y0Mi1iYWFmLTQxMWMtYjM0NC04NmZmYTIwZDRkMGQ&amp;ifq,1
http://www.facebook.com/plugins/likebox.php?href=http%3A%2F%2Fwww.facebook.com%2Fcltmusic&width=940&height=285&colorscheme=dark&show_faces=true&border_color=false&stream=false&header=true&appId=213085448738062,1
https://docs.google.com/a/uwf.edu/spreadsheet/viewform?formkey=dFN1eXA1WWNMdnc2RzVxME1MQ2QtdFE6MQ,1
https://sites.google.com/site/freehabbocoinsgbbo00/,1
https://docs.google.com/a/nebo.edu/spreadsheet/viewform?formkey=dGgzbnZ0NFNuYlV4cndyVHlQdEw4eXc6MQ,1
http://www.google.com/recaptcha/api/noscript?k=6LcD9swSAAAAAO1fRCyDCmOB_N24aG7AXJ6kId9s,1
https://spreadsheets.google.com/spreadsheet/formResponse?formkey=dHVqNWoyMGV0anFaa2xTM1dsbUx4ZVE6MQ&amp;embedded=true&amp;ifq,1
http://twitter.com/share?url=http://www.greeteasy.com/sending-warm-wishes-on-ganesh-chaturthi/,1
http://www.facebook.com/sharer.php?u=http://www.greeteasy.com/happy-ganesh-chaturthi-1/,1
